teamID,teamName,gamesPlayed,wins,losses,scoresFor,scoresAgainst,opponentCompletions,opponentTurnovers,opponentBlocks
spinners,Spinners,17,0.88,0.12,27.00,19.06,,,
constitution,Constitution,12,0.67,0.33,22.08,20.00,,,
alleycats,AlleyCats,16,0.50,0.50,21.31,21.31,,,
revolution,Revolution,16,0.50,0.50,18.81,18.69,,,
cranes,Cranes,16,0.44,0.56,19.81,20.63,,,
mechanix,Mechanix,15,0.40,0.60,21.80,23.40,,,
rampage,Rampage,15,0.40,0.60,20.47,23.53,,,
dragons,Dragons,15,0.20,0.80,18.13,23.40,,,
