teamID,teamName,gamesPlayed,wins,losses,scoresFor,scoresAgainst,opponentCompletions,opponentTurnovers,opponentBlocks,opponentHolds,opponentBreaks
empire,Empire,15,1.00,0.00,22.27,18.80,254.07,18.47,8.93,15.13,3.67
growlers,Growlers,14,0.79,0.21,23.43,20.86,256.64,18.64,9.57,15.93,4.93
flyers,Flyers,13,0.77,0.23,22.54,19.62,251.92,18.62,8.08,15.15,4.46
aviators,Aviators,13,0.69,0.31,23.54,20.54,249.77,20.62,8.92,16.38,4.15
legion,Legion,15,0.67,0.33,21.33,20.00,203.80,21.40,8.80,14.67,5.27
alleycats,AlleyCats,14,0.64,0.36,20.00,19.29,228.79,18.36,8.93,14.79,4.50
thunderbirds,Thunderbirds,14,0.64,0.36,21.29,19.29,231.29,19.29,10.29,14.43,4.86
rush,Rush,14,0.57,0.43,20.93,19.36,209.57,21.14,9.71,14.50,4.86
breeze,Breeze,13,0.54,0.46,21.62,20.15,256.38,19.00,8.85,15.62,4.54
union,Union,13,0.54,0.46,20.85,19.77,242.62,18.38,9.31,14.31,5.46
radicals,Radicals,12,0.50,0.50,20.83,18.50,286.58,21.25,10.25,13.50,5.00
windchill,Wind Chill,12,0.50,0.50,21.75,21.00,264.42,21.42,11.33,15.50,5.42
hustle,Hustle,12,0.42,0.58,20.50,20.25,297.17,16.17,7.67,15.08,5.08
cannons,Cannons,12,0.33,0.67,19.33,21.92,219.25,18.25,11.00,14.25,7.75
phoenix,Phoenix,12,0.33,0.67,18.50,20.75,231.08,22.17,13.08,14.83,5.92
royal,Royal,12,0.33,0.67,19.83,21.08,216.50,19.08,11.17,15.67,5.42
outlaws,Outlaws,12,0.25,0.75,19.00,22.08,236.75,20.50,11.42,14.83,7.25
sol,Sol,12,0.25,0.75,19.08,21.17,215.08,21.25,13.25,14.33,6.83
spiders,Spiders,12,0.25,0.75,22.00,25.08,253.67,17.42,12.00,17.33,7.67
cascades,Cascades,12,0.17,0.83,21.92,25.50,239.08,16.50,10.42,17.50,8.00
mechanix,Mechanix,12,0.00,1.00,14.50,23.08,207.17,18.83,14.17,12.58,10.50
