teamID,teamName,season,gamesPlayed,wins,losses,scoresFor,scoresAgainst,opponentCompletions,opponentTurnovers,opponentBlocks,opponentHolds,opponentBreaks,opponentHuckCompletions,opponentHuckTurnovers
empire,Empire,2022,9,1.0,0.0,24.0,16.67,220.56,20.78,7.67,14.0,2.56,4.78,4.89
summit,Summit,2022,8,1.0,0.0,23.63,19.25,247.88,22.0,8.38,16.0,3.25,9.13,7.63
union,Union,2022,6,1.0,0.0,23.5,19.0,243.83,23.83,9.83,15.17,3.83,7.17,6.33
flyers,Flyers,2022,9,0.89,0.11,22.22,17.33,244.44,18.22,6.56,15.11,2.22,7.56,3.22
windchill,Wind Chill,2022,6,0.83,0.17,21.67,15.33,247.5,27.0,8.5,11.5,3.83,6.0,5.5
shred,Shred,2022,7,0.71,0.29,24.86,21.43,234.0,22.29,9.0,16.29,5.0,9.29,6.0
breeze,Breeze,2022,6,0.67,0.33,24.17,21.0,249.0,16.67,8.17,17.0,4.0,5.67,3.83
hustle,Hustle,2022,6,0.67,0.33,20.5,17.5,262.0,18.67,6.33,13.5,3.83,9.0,6.0
growlers,Growlers,2022,8,0.63,0.38,20.38,20.5,235.63,20.88,9.5,15.75,4.75,8.38,4.5
sol,Sol,2022,8,0.63,0.38,22.0,21.13,214.38,16.5,7.63,16.0,5.0,10.25,4.5
alleycats,AlleyCats,2022,7,0.57,0.43,23.71,21.43,281.0,16.71,6.86,15.57,5.86,7.86,5.43
phoenix,Phoenix,2022,7,0.57,0.43,20.0,18.71,226.57,22.29,11.0,14.71,3.86,6.29,6.29
radicals,Radicals,2022,8,0.5,0.5,19.25,19.63,294.88,19.25,9.75,14.13,5.38,5.25,4.38
royal,Royal,2022,8,0.5,0.5,19.63,20.38,242.75,19.75,12.25,14.38,5.88,8.25,5.38
aviators,Aviators,2022,7,0.43,0.57,18.43,20.57,249.57,18.57,11.86,15.57,5.0,8.43,3.71
spiders,Spiders,2022,8,0.38,0.63,22.13,22.75,223.0,21.5,11.63,16.5,6.25,7.0,4.5
thunderbirds,Thunderbirds,2022,8,0.38,0.63,17.25,18.75,218.25,21.25,10.75,11.88,6.5,6.25,5.38
glory,Glory,2022,9,0.33,0.67,20.78,21.56,259.44,18.78,10.11,16.22,5.33,7.0,3.22
rush,Rush,2022,10,0.3,0.7,18.8,24.5,242.1,14.4,11.2,15.9,8.5,9.7,4.2
nitro,Nitro,2022,8,0.25,0.75,21.38,23.75,291.25,19.5,11.75,16.38,7.25,8.0,5.38
cascades,Cascades,2022,10,0.2,0.8,19.8,21.7,245.3,21.0,11.2,15.5,6.2,6.8,4.6
outlaws,Outlaws,2022,7,0.14,0.86,20.14,23.57,238.86,17.86,10.71,16.43,6.86,10.86,5.71
cannons,Cannons,2022,7,0.0,1.0,15.86,22.14,214.86,16.29,11.71,13.14,8.86,8.86,3.71
legion,Legion,2022,6,0.0,1.0,16.83,23.17,248.33,15.83,12.17,14.17,9.0,7.17,6.17
mechanix,Mechanix,2022,7,0.0,1.0,18.71,26.29,224.57,16.14,13.86,16.86,9.29,8.43,3.29
empire,Empire,2021,15,0.8,0.2,21.6,19.27,258.8,16.53,7.67,15.8,3.47,6.13,4.53
growlers,Growlers,2021,14,0.79,0.21,20.43,18.5,259.21,20.57,9.07,14.57,3.93,6.43,5.14
union,Union,2021,14,0.79,0.21,22.14,17.43,292.0,19.07,7.93,14.71,2.71,6.07,4.07
royal,Royal,2021,9,0.78,0.22,21.11,19.89,200.11,20.78,10.44,15.33,4.56,8.33,2.11
breeze,Breeze,2021,13,0.77,0.23,21.85,16.77,227.77,19.85,8.0,13.38,3.38,6.15,5.23
windchill,Wind Chill,2021,13,0.77,0.23,21.54,17.77,238.54,21.15,8.54,13.77,4.0,6.31,4.54
flyers,Flyers,2021,15,0.73,0.27,22.73,18.67,262.0,19.13,8.13,15.53,3.13,5.73,4.73
hustle,Hustle,2021,13,0.69,0.31,21.0,18.85,311.77,18.46,8.38,14.15,4.62,6.62,4.85
legion,Legion,2021,13,0.62,0.38,20.08,18.54,201.69,19.62,8.46,13.77,4.77,6.77,4.62
radicals,Radicals,2021,12,0.58,0.42,21.42,18.5,288.67,20.33,9.75,13.25,5.08,6.0,4.33
sol,Sol,2021,12,0.5,0.5,21.5,21.0,199.83,23.0,10.92,14.83,6.17,8.33,4.67
aviators,Aviators,2021,12,0.42,0.58,18.33,19.58,254.17,21.92,12.0,13.5,6.0,5.92,4.5
glory,Glory,2021,12,0.42,0.58,22.33,22.08,242.5,16.83,9.33,16.75,5.33,7.67,4.42
outlaws,Outlaws,2021,8,0.38,0.63,21.0,22.0,222.63,20.0,10.75,16.13,5.88,10.25,3.5
rush,Rush,2021,9,0.33,0.67,20.78,21.11,217.33,18.56,10.22,15.78,5.22,10.67,4.67
spiders,Spiders,2021,12,0.33,0.67,19.67,20.67,268.42,20.33,11.5,13.58,7.08,6.17,5.67
alleycats,AlleyCats,2021,12,0.25,0.75,19.75,21.17,284.17,17.0,9.25,14.17,6.83,5.17,4.92
cascades,Cascades,2021,12,0.25,0.75,18.58,21.08,258.17,20.5,12.08,13.5,7.5,6.33,4.83
phoenix,Phoenix,2021,12,0.25,0.75,18.08,21.42,257.5,16.92,10.75,14.42,6.92,6.17,4.67
cannons,Cannons,2021,12,0.17,0.83,17.0,24.25,233.25,17.33,13.58,15.08,9.17,7.67,5.33
thunderbirds,Thunderbirds,2021,12,0.08,0.92,19.0,24.08,228.5,16.75,11.83,16.08,8.0,10.42,4.83
mechanix,Mechanix,2021,12,0.0,1.0,15.42,26.58,228.08,16.67,14.33,14.33,12.25,8.17,3.75
empire,Empire,2019,15,1.0,0.0,22.27,18.8,254.07,18.47,8.93,15.13,3.67,,
