Date,MSFT,GOOGL
2015-01-02,41.10883331298828,529.5499877929688
2015-01-05,40.73081588745117,519.4600219726562
2015-01-06,40.13298797607422,506.6400146484375
2015-01-07,40.642887115478516,505.1499938964844
2015-01-08,41.83852767944336,506.9100036621094
2015-01-09,41.48686218261719,500.7200012207031
2015-01-12,40.968170166015625,497.05999755859375
2015-01-13,40.75718688964844,501.79998779296875
2015-01-14,40.40552520751953,505.92999267578125
2015-01-15,39.98353576660156,504.010009765625
2015-01-16,40.65167999267578,510.4599914550781
2015-01-20,40.7835578918457,509.94000244140625
2015-01-21,40.37035369873047,520.3900146484375
2015-01-22,41.43413162231445,537.2999877929688
2015-01-23,41.47807693481445,541.9500122070312
2015-01-26,41.32861328125,536.719970703125
2015-01-27,37.50433349609375,521.1900024414062
2015-01-28,36.211997985839844,512.4299926757812
2015-01-29,36.93289566040039,513.22998046875
2015-01-30,35.5174674987793,537.5499877929688
2015-02-02,36.2911376953125,532.2000122070312
2015-02-03,36.57244873046875,533.2999877929688
2015-02-04,36.78343200683594,526.0999755859375
2015-02-05,37.31972122192383,529.8300170898438
2015-02-06,37.28455352783203,533.8800048828125
2015-02-09,37.2406005859375,529.280029296875
2015-02-10,37.45158767700195,540.1599731445312
2015-02-11,37.2581787109375,538.0
2015-02-12,37.88237380981445,546.010009765625
2015-02-13,38.56810760498047,551.1599731445312
2015-02-17,38.5858154296875,545.010009765625
2015-02-18,38.541542053222656,542.6500244140625
2015-02-19,38.514976501464844,546.4500122070312
2015-02-20,38.8337287902832,541.7999877929688
2015-02-23,39.09050369262695,535.0
2015-02-24,39.03737258911133,538.6500244140625
2015-02-25,38.948829650878906,547.3300170898438
2015-02-26,39.010807037353516,559.2899780273438
2015-02-27,38.82487487792969,562.6300048828125
2015-03-02,38.85143280029297,575.02001953125
2015-03-03,38.3201904296875,578.7899780273438
2015-03-04,38.12541961669922,578.3300170898438
2015-03-05,38.169673919677734,581.4299926757812
2015-03-06,37.50563430786133,572.9000244140625
2015-03-09,37.93947219848633,574.0999755859375
2015-03-10,37.213436126708984,559.8499755859375
2015-03-11,37.169166564941406,555.6900024414062
2015-03-12,36.319190979003906,561.1699829101562
2015-03-13,36.63792037963867,553.0
2015-03-16,36.797298431396484,561.6400146484375
2015-03-17,36.9212532043457,557.6099853515625
2015-03-18,37.629581451416016,566.1599731445312
2015-03-19,37.44364547729492,563.6699829101562
2015-03-20,37.96603775024414,564.9500122070312
2015-03-23,37.948326110839844,565.3699951171875
2015-03-24,37.98373794555664,577.5399780273438
2015-03-25,36.708763122558594,567.0
2015-03-26,36.487403869628906,563.6400146484375
2015-03-27,36.27490997314453,557.5499877929688
2015-03-30,36.26606369018555,561.1400146484375
2015-03-31,36.00044631958008,554.7000122070312
2015-04-01,36.053565979003906,549.489990234375
2015-04-02,35.67284393310547,541.3099975585938
2015-04-06,36.78845977783203,543.9500122070312
2015-04-07,36.77074432373047,544.8599853515625
2015-04-08,36.67334747314453,548.8400268554688
2015-04-09,36.726470947265625,548.02001953125
2015-04-10,36.938968658447266,548.5399780273438
2015-04-13,36.974388122558594,548.6400146484375
2015-04-14,36.87698745727539,539.780029296875
2015-04-15,37.41708755493164,541.0399780273438
2015-04-16,37.32853317260742,543.52001953125
2015-04-17,36.85042190551758,532.739990234375
2015-04-20,37.99259567260742,544.530029296875
2015-04-21,37.7535400390625,542.9199829101562
2015-04-22,38.06343078613281,549.1799926757812
2015-04-23,38.37332534790039,557.4600219726562
2015-04-24,42.384185791015625,573.6599731445312
2015-04-27,42.52584457397461,566.1199951171875
2015-04-28,43.52635955810547,564.3699951171875
2015-04-29,43.43782043457031,561.3900146484375
2015-04-30,43.065948486328125,548.77001953125
2015-05-01,43.08365249633789,551.1599731445312
2015-05-04,42.7117919921875,552.8400268554688
2015-05-05,42.1451301574707,543.0399780273438
2015-05-06,40.97639846801758,535.0800170898438
2015-05-07,41.3482666015625,542.0399780273438
2015-05-08,42.27793884277344,548.9500122070312
2015-05-11,41.941490173339844,545.780029296875
2015-05-12,41.92377471923828,538.72998046875
2015-05-13,42.171688079833984,539.489990234375
2015-05-14,43.13677978515625,549.2000122070312
2015-05-15,42.7649040222168,546.489990234375
2015-05-18,42.508140563964844,546.6699829101562
2015-05-19,42.401206970214844,549.280029296875
2015-05-20,42.401206970214844,552.510009765625
2015-05-21,42.25861358642578,556.8099975585938
2015-05-22,41.795230865478516,554.52001953125
2015-05-26,41.51894760131836,547.1900024414062
2015-05-27,42.42793655395508,554.25
2015-05-28,42.28535461425781,554.1799926757812
2015-05-29,41.75957489013672,545.3200073242188
2015-06-01,42.08930587768555,549.2100219726562
2015-06-02,41.813045501708984,553.9500122070312
2015-06-03,41.75066375732422,555.2899780273438
2015-06-04,41.313995361328125,551.6900024414062
2015-06-05,41.117942810058594,549.530029296875
2015-06-08,40.752567291259766,543.47998046875
2015-06-09,40.681278228759766,542.1599731445312
2015-06-10,41.53679275512695,552.5999755859375
2015-06-11,41.385284423828125,550.0399780273438
2015-06-12,40.966453552246094,547.469970703125
2015-06-15,40.529781341552734,543.0
2015-06-16,40.841670989990234,544.8699951171875
2015-06-17,40.966453552246094,546.5999755859375
2015-06-18,41.63481140136719,556.1799926757812
2015-06-19,41.08229446411133,557.52001953125
2015-06-22,41.198143005371094,559.6799926757812
2015-06-23,40.91297149658203,563.3900146484375
2015-06-24,40.67236328125,558.5700073242188
2015-06-25,40.681278228759766,557.9500122070312
2015-06-26,40.3337287902832,553.0599975585938
2015-06-29,39.540592193603516,541.25
