Sigle,Titre,Credit,url,Prerequisites
BIO 2405,Microbiologie de l'environnement,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/bio-2405/,MCB1979 ou MCB1980
BIO 3283,Principes d'évolution,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/bio-3283/,
CHM 1302,Chimie organique 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/chm-1302/,CHM1301
CHM 1990,Physicochimie générale 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/chm-1990/,
CHM 3450,Éléments de cristallographie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/chm-3450/,
DMO 1000,Introduction à la démographie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-1000/,
GEO 1532,SIG1 - Cartographie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/geo-1532/,
GEO 2512,SIG2 - Analyse spatiale,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/geo-2512/,GEO1532
MAT 2531,Histoire des mathématiques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2531/,
PHI 1130,Philosophie des sciences,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-1130/,
PHI 1300,Philosophie de la connaissance,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-1300/,
PHI 1365,"Évolution, pensée et valeurs",3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-1365/,
PHI 2418,Éthique et politique de l'environnement,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-2418/,
PHY 1234,Introduction à la physique numérique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phy-1234/,
PHY 1973,Astrobiologie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phy-1973/,
POL 3235,Politiques scientifiques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3235/,
PSL 1982,Les bases du système nerveux,2.0,https://admission.umontreal.ca/cours-et-horaires/cours/psl-1982/,
PSL 3062,Base neuronale des fonctions cérébrales,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/psl-3062/,
PSY 1035,Psychologie physiologique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/psy-1035/,
REI 1030,Gestion et fonctions de l'organisation,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/rei-1030/,
SOL 3410,"Technosciences, culture et société",3.0,https://admission.umontreal.ca/cours-et-horaires/cours/sol-3410/,
