Sigle,Titre,Credit,url,Prerequisites
HST 2401,"Métis et métissage, 17e-21e s.",3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2401/,
HST 2410,"Histoire des empires atlantiques, XVIe-XVIIIe s.",3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2410/,
HST 2411,"L'Atlantique des communications, 16e-18e s.",3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2411/,
HST 2420,Îles et continent: l'Amérique française,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2420/,
HST 2422,"Histoire politique du Québec, 1760-1867",3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2422/,
HST 2427,Amérique du Nord britannique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2427/,
HST 2430,Culture et société au Québec,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2430/,
HST 2443,Le Canada et le Québec dans le monde,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2443/,
HST 2444,"Autochtones, État et société au Canada",3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2444/,
HST 2446,Histoire des femmes au Canada,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2446/,
HST 2453,L'Europe et le monde,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2453/,
HST 2621,Les religions de la Chine moderne,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2621/,
HST 2624,Histoire du Japon jusqu'en 1868,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2624/,
HST 2625,Histoire du Japon contemporain,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2625/,
HST 2627,Dominations et résistances dans le monde arabe,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2627/,
HST 2628,Le Viêtnam moderne,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2628/,
HST 2820,La mondialisation depuis 1850,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2820/,
HST 2831,Histoire des médecines alternatives,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2831/,
HST 2875,Histoire de Montréal - Ville d'Amérique/du monde,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2875/,
HST 2885,Histoire de l'environnement au Canada,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2885/,
HST 2904,Histoire du Québec contemporain,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2904/,
HST 2911,Thème d'histoire,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hst-2911/,
ANT 1018,La parenté et la néo-parenté,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ant-1018/,
ANT 1611,"Langage, culture, société",3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ant-1611/,
ARV 2955,Histoire du livre et de l'imprimé,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/arv-2955/,
CIN 2111,Histoire et cinéma,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/cin-2111/,
