Sigle,Titre,Credit,url,Prerequisites
POL 3235,Politiques scientifiques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3235/,
POL 3285,Le système politique de la Russie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3285/,
POL 3286,Les États postsoviétiques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3286/,
POL 3287,La politique étrangère de la Russie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3287/,
POL 3292,La politique au Québec,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3292/,
POL 3310,Les États-Unis : institutions et forces politiques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3310/,
POL 3321,Administration publique comparée,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3321/,
POL 3322,Risque et politiques publiques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3322/,
POL 3350,Relations intergouvernementales : Canada,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3350/,
POL 3355,Systèmes politiques européens,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3355/,
POL 3370,Pouvoir judiciaire et démocratie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3370/,
POL 3401,L'Asie du Sud-Est,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3401/,
POL 3402,Identités et conflits en Eurasie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3402/,
POL 3405,La violence politique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3405/,
POL 3410,La formation des états en Europe,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3410/,
POL 3481,Politique et droit,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3481/,
POL 3500,Institutions politiques canadiennes,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3500/,
POL 3545,Intervention et efficacité gouvernementales,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3545/,
POL 3601,Politique étrangère : grandes puissances,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3601/,
POL 3602,Politique et mondialisation des marchés,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3602/,
POL 3605,Pouvoir et résistance dans le cyberespace,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3605/,
POL 3624,Philosophie politique juive,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3624/,Préalable : Avoir réussi 60 crédits universitaires.
POL 3721,"Relations extérieures : Canada, Québec",3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3721/,
POL 3753,La Chine,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3753/,
POL 3754,Le Japon,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3754/,
POL 3807,Idéologies politiques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3807/,
POL 3811,Armées et groupes armés non étatiques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3811/,
POL 3835,L'Amérique latine,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3835/,
POL 3840,Sécurité au Moyen-Orient,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3840/,Préalable : POL1600 ou POL1009
POL 3851,Intégration européenne,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3851/,
POL 3855,Enjeux politiques en Afrique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3855/,
POL 3860,Régimes politiques de l'Asie de l'Est,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3860/,
POL 3861,Les États-Unis : politiques publiques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3861/,
POL 3900,Politique et société,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3900/,
